date,open,close
2025-01-08,723,725
2025-01-09,725,724
2025-01-10,724,726
2025-01-13,726,728
2025-01-14,728,727
2025-01-15,727,729
2025-01-16,729,731
2025-01-17,731,730
2025-01-21,730,732
2025-01-22,732,734
2025-01-23,734,733
2025-01-24,733,735
2025-01-27,735,737
2025-01-28,737,736
2025-01-29,736,738
2025-01-30,738,740
2025-01-31,740,739
